MAL_ID,Name,Score,Genres,Type,Episodes,Aired
3641,Naisho no Tsubomi,6.58,"Kids, Romance, School, Shoujo, Slice of Life, Supernatural",OVA,3,2008-04-25
3642,Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi,6.07,"Harem, Music, Ecchi, Fantasy, Seinen",Music,4,2008-03-21
3643,Mahou no Rouge Lipstick,5.35,Hentai,OVA,1,1985-07-10
3644,Uchiyama Aki,5.64,Hentai,OVA,3,1984-12-15
3645,Yunyun☆Paradise,5.76,Hentai,OVA,1,1995-06-30
3646,Glass no Usagi,6.65,Historical,Movie,1,2005-09-09
3648,Shownoid Mako-chan,5.42,Hentai,OVA,2,1998-09-25
3649,Bishoujo Comic Lolicon Angel: Mitsu no Aji,5.47,Hentai,OVA,1,1985-01-10
3652,Higurashi no Naku Koro ni Rei,7.44,"Mystery, Comedy, Psychological, Supernatural, Thriller",OVA,5,2009-02-25
3653,Kurogane no Linebarrels,6.95,"Action, Mecha, Sci-Fi",TV,24,2008-10-03
3654,Macademi Wasshoi!,6.97,"Comedy, Ecchi, Fantasy, Romance, School, Supernatural",TV,12,2008-10-06
3655,Nabari no Ou,7.29,"Action, Fantasy, Supernatural, Comedy, Drama, Shounen",TV,26,2008-04-07
3656,Monochrome Factor,6.99,"Action, Shounen Ai, Supernatural",TV,24,2008-04-08
3659,Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,6.39,"Adventure, Comedy",Movie,1,2006-03-11
3660,Mahou no Idol Pastel Yumi,6.29,"Comedy, Fantasy, Kids, Magic, Shoujo",TV,25,1986-03-07
3661,Joker: Marginal City,5.34,"Action, Sci-Fi, Romance",OVA,1,1992-04-21
3665,Ginga Eiyuu Densetsu Gaiden (1999),8.08,"Action, Military, Sci-Fi, Space, Drama",OVA,28,1999-12-24
3667,Strike Witches,7.0,"Action, Ecchi, Magic, Military, Sci-Fi",TV,12,2008-07-04
3668,Telepathy Shoujo Ran,6.64,"Fantasy, School",TV,26,2008-06-21
3669,Duel Masters Movie 1: Yami no Shiro no Maryuuou,5.8,"Adventure, Kids",Movie,1,2005-03-12
3670,Kikou Souseiki Mospeada,7.1,"Action, Mecha, Military",TV,25,1983-10-02
3671,"Genesis Climber Mospeada: Love, Live, Alive",6.14,"Action, Mecha, Music",OVA,1,1985-09-01
3672,Tottemo! Luckyman,6.88,"Comedy, Super Power, Sci-Fi, Shounen",TV,50,1994-04-06
3673,Nijuu Mensou no Musume,7.57,"Action, Adventure, Mystery",TV,22,2008-04-13
3674,Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,7.44,"Comedy, Parody, School",Special,1,2008-01-01
3675,Andromeda Stories,5.78,"Action, Drama, Fantasy, Sci-Fi, Space",Special,1,1982-08-22
3676,Machine Robo: Cronos no Dai Gyakushuu,6.32,"Action, Martial Arts, Mecha, Sci-Fi, Space",TV,47,1986-07-03
3679,Renketsu Houshiki,6.67,Hentai,OVA,3,2008-01-25
3680,Ai no Katachi: Ecchi na Onnanoko wa Kirai... Desu ka?,6.22,Hentai,OVA,2,2008-02-25
3681,Tokyo Requiem,5.8,"Demons, Hentai, Supernatural",OVA,2,2005-04-25
3683,Kabatotto,6.0,Comedy,TV,300,1971-01-01
3685,4-Day Weekend,5.66,Music,Music,1,1998-12-18
3686,Tokimeki Memorial: Only Love Specials,6.68,"Comedy, School",Special,2,2007-09-21
3689,Hatsumei Boy Kanipan,6.57,"Sci-Fi, Adventure, Comedy, Mecha",TV,31,1998-07-03
3690,Chou Hatsumei Boy Kanipan,6.53,"Adventure, Comedy, Mecha, Romance",TV,21,1999-02-05
3691,Watashi to Watashi: Futari no Lotte,6.96,"Slice of Life, Kids, Shoujo",TV,29,1991-11-09
3692,Yes! Precure 5 GoGo!,7.12,"Action, Magic, Fantasy, School, Shoujo",TV,48,2008-02-03
3695,Spectral Force Chronicle Divergence,5.04,Fantasy,OVA,1,2005-06-22
3701,Kaiba,8.17,"Adventure, Mystery, Romance, Sci-Fi",TV,12,2008-04-11
3702,Detroit Metal City,8.14,"Music, Comedy, Seinen",OVA,12,2008-08-08
