MAL_ID,Name,Score,Genres,Type,Episodes,Aired
7604,Yobai Suru Shichinin no Harame,6.59,"Harem, Hentai",OVA,2,2014-11-21
7605,Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,6.53,"Action, Ecchi, Comedy, Shoujo Ai",Special,1,2014-11-22
7606,Robot Girls Z Specials,6.33,"Comedy, Mecha, Parody",Special,3,2014-06-13
7607,Gakkougurashi!,7.63,"Slice of Life, Psychological, School, Horror, Mystery",TV,12,2015-07-09
7608,Imawa no Kuni no Alice (OVA),7.47,"Action, Psychological, Supernatural, Thriller, Shounen",OVA,3,2014-10-15
7609,3-D Heaven,4.58,"Music, Kids",Music,1,1988-10-03
7610,Awate Tokoya,5.06,Music,Music,1,1961-04-01
7611,Shoko Nakagawa Prism Tour Special,5.83,Music,Special,1,2010-04-01
7612,Bloody Bunny,5.86,Comedy,TV,26,2012-07-18
7613,Kawaii Cook-san,4.89,"Music, Slice of Life",ONA,1,2011-03-02
7614,Fantasista Stella,6.04,"Sports, Shounen",OVA,3,2014-09-18
7615,Isshuukan Friends. Specials,6.8,"Slice of Life, School",Special,12,2014-06-18
7616,Days,6.71,Music,Music,1,2014-06-13
7617,Ansatsu Kyoushitsu,8.12,"Action, Comedy, School, Shounen",TV,22,2015-01-10
7618,Mobile Suit Gundam-san,6.19,"Comedy, Parody, Mecha",TV,13,2014-07-06
7619,Clarinet Kowashichatta,5.05,"Music, Kids",Music,1,1963-02-05
7620,Ichigeki Sacchuu!! Hoihoi-san: Legacy,4.89,"Comedy, Sci-Fi",ONA,1,2012-08-11
7621,Injutsu no Yakata The Animation,6.44,Hentai,OVA,1,2014-08-01
7622,Madonna: Kanjuku Body Collection,6.6,"Harem, Hentai",OVA,1,2014-08-01
7623,Girlfriend (Kari),5.94,"School, Slice of Life",TV,12,2014-10-13
7624,Akaoni to Aooni no Tango,5.3,"Music, Kids",Music,1,1977-12-05
7625,Juuou Mujin no Fafnir,6.25,"Fantasy, Harem, Romance, School",TV,12,2015-01-09
7626,Sidonia no Kishi: Daikyuu Wakusei Seneki,7.77,"Action, Sci-Fi, Space, Mecha, Seinen",TV,12,2015-04-11
7627,Cook no Polka,5.1,"Kids, Music",Music,1,1964-08-03
7628,Neko Funjatta,5.25,"Music, Kids",Music,1,1966-10-20
7629,Go-hiki no Kobuta to Charleston,5.17,"Music, Kids",Music,1,1964-08-03
7630,Kaitou Joker,6.88,"Adventure, Mystery, Comedy, Shounen",TV,13,2014-10-06
7631,Kyonyuu Try!: Tanki Shuuchuu Chichi Momi Lesson,6.89,Hentai,OVA,1,2014-09-19
7632,Bokura wa Minna Kawai-sou: Hajimete no,7.66,"Slice of Life, Comedy, Romance, School, Seinen",Special,1,2015-01-30
7633,Aoki Hagane no Arpeggio: Ars Nova DC,7.44,"Action, Sci-Fi, Seinen",Movie,1,2015-01-31
7634,Aoki Hagane no Arpeggio: Ars Nova Cadenza,7.88,"Action, Sci-Fi, Seinen",Movie,1,2015-10-03
7635,Recorder to Randoseru Mi☆ Special,6.38,"Slice of Life, Comedy, School, Seinen",Special,1,2013-10-02
7636,Ane Kyun!: Joshi ga Ie ni Kita!,6.6,Hentai,OVA,1,2014-08-29
7637,Bokura wa Minna Kawai-sou Specials,7.15,"Comedy, Seinen",Special,14,2014-07-02
7638,Ghibli ga Ippai Special Short Short,5.8,Slice of Life,Special,10,2005-11-16
7639,Furueru Kuchibiru Episode 0,6.68,Hentai,OVA,1,2014-06-27
7640,No Game No Life Specials,6.75,"Ecchi, Fantasy, Game",Special,6,2014-06-25
7641,Moonfesta,5.87,"Music, Kids",Music,1,2012-06-03
7642,Love Live! The School Idol Movie,7.95,"Music, School, Slice of Life",Movie,1,2015-06-13
7643,Akai Jitensha,5.26,"Music, Kids",Music,1,1999-04-04
7644,Fate/kaleid liner Prisma☆Illya 2wei! Specials,6.87,"Comedy, Ecchi, Fantasy, Magic",Special,5,2014-09-26
7645,Akatsuki no Yona,8.05,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",TV,24,2014-10-07
7646,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,7.73,"Action, Supernatural, Fantasy",Movie,1,2015-03-14
7647,Chiisana Koi no Monogatari: Chichi to Sally Hatsukoi no Shiki,6.04,"Romance, Slice of Life, Shoujo",Special,1,1984-03-20
7648,Mijikamon,6.82,Comedy,ONA,12,2014-07-03
7649,Sushi Ninja,5.3,"Action, Comedy, Fantasy",ONA,3,2014-07-03
7650,Furifure The Animation,6.25,Hentai,OVA,1,2014-09-26
7651,Shin Dousei Jidai: Hawaiian Breeze,6.16,"Romance, Drama",OVA,1,1992-07-03
7652,Tom Sawyer no Bouken Specials,6.15,"Adventure, Slice of Life, Historical, Drama",Special,2,2001-02-01
7653,Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,6.04,"Music, Mystery",OVA,1,2014-09-25
7654,Ie Naki Ko Remy Specials (2001),6.5,"Adventure, Slice of Life, Drama",Special,2,2001-07-14
7655,"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets♥Sareta Ken",6.81,"Comedy, Ecchi, Harem, Romance, School",TV,12,2015-10-07
7656,Majokko Shimai no Yoyo to Nene Movie Extra: Hatsukoi - Mikako Komatsu,6.06,Music,Special,1,2014-06-25
7657,Ryuugajou Nanana no Maizoukin (TV): Nanana Nippon Mukashibanashi,6.67,Comedy,Special,6,2014-06-25
7658,"Kono Danshi, Sekka ni Nayandemasu.",6.97,"Drama, School, Shounen Ai",OVA,1,2014-12-03
7659,Trinity Seven,7.17,"Action, Harem, Comedy, Supernatural, Magic, Romance, Ecchi, Fantasy, School, Shounen",TV,12,2014-10-08
7660,Inou-Battle wa Nichijou-kei no Naka de,7.14,"Harem, Slice of Life, Comedy, Supernatural, Romance, School",TV,12,2014-10-07
7661,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,7.92,"Adventure, Comedy, Fantasy, Shounen",Special,1,2014-08-30
7662,Tamayura: More Aggressive Picture Drama,6.25,"Comedy, Drama",Special,1,2013-10-30
7663,Gangsta.,7.4,"Action, Drama, Seinen",TV,12,2015-07-02
7664,AkaKill! Gekijou,6.56,Comedy,ONA,24,2014-07-08
7665,Persona 4 the Animation: Mr. Experiment Shorts,6.11,Comedy,Special,5,2013-04-01
